Stadt,PLZ,Strasse
Berlin,10115,Ackerstraße
Berlin,10115,Am Nordbahnhof
Berlin,10115,Am Pankepark
Berlin,10115,An der Kieler Brücke
Berlin,10115,Anklamer Straße
Berlin,10115,Auguststraße
Berlin,10115,Bergstraße
Berlin,10115,Bernauer Straße
Berlin,10115,Borsigstraße
Berlin,10115,Boyenstraße
Berlin,10115,Brunnenstraße
Berlin,10115,Caroline-Michaelis-Straße
Berlin,10115,Chausseestraße
Berlin,10115,Eichendorffstraße
Berlin,10115,Elisabethkirchstraße
Berlin,10115,Elisabeth-Schwarzhaupt-Platz
Berlin,10115,Gartenstraße
Berlin,10115,Große Hamburger Straße
Berlin,10115,Habersaathstraße
Berlin,10115,Hannoversche Straße
Berlin,10115,Hessische Straße
Berlin,10115,Invalidenstraße
Berlin,10115,Julie-Wolfthorn-Straße
Berlin,10115,Kieler Straße
Berlin,10115,Kleine Hamburger Straße
Berlin,10115,Koppenplatz
Berlin,10115,Krausnickstraße
Berlin,10115,Liesenstraße
Berlin,10115,Linienstraße
Berlin,10115,Luisenstraße
Berlin,10115,Novalisstraße
Berlin,10115,Pflugstraße
Berlin,10115,Philippstraße
Berlin,10115,Platz vor dem Neuen Tor
Berlin,10115,Rheinsberger Straße
Berlin,10115,Robert-Koch-Platz
Berlin,10115,Ruppiner Straße
Berlin,10115,Scharnhorststraße
Berlin,10115,Schlegelstraße
Berlin,10115,Schönholzer Straße
Berlin,10115,Schröderstraße
Berlin,10115,Schwartzkopffstraße
Berlin,10115,Sophienstraße
Berlin,10115,Strelitzer Straße
Berlin,10115,Tieckstraße
Berlin,10115,Torstraße
Berlin,10115,Wöhlertstraße
Berlin,10115,Zinnowitzer Straße
Berlin,10117,Adele-Schreiber-Krieger-Straße
Berlin,10117,Albrechtstraße
Berlin,10117,Alexanderufer
Berlin,10117,Alte Leipziger Straße
Berlin,10117,Am Festungsgraben
Berlin,10117,Am Kupfergraben
Berlin,10117,Am Weidendamm
Berlin,10117,Am Zeughaus
Berlin,10117,Am Zirkus
Berlin,10117,An der Kolonnade
Berlin,10117,Auguststraße
Berlin,10117,Axel-Springer-Straße
Berlin,10117,Bauhofstraße
Berlin,10117,Bebelplatz
Berlin,10117,Behrenstraße
Berlin,10117,Bertolt-Brecht-Platz
Berlin,10117,Beuthstraße
Berlin,10117,Bonhoefferweg
Berlin,10117,Bunsenstraße
Berlin,10117,Caroline-von-Humboldt-Weg
Berlin,10117,Charitéplatz
Berlin,10117,Charitéstraße
Berlin,10117,Charlottenstraße
Berlin,10117,Claire-Waldoff-Straße
Berlin,10117,Cora-Berliner-Straße
Berlin,10117,Dorotheenstraße
Berlin,10117,Ebertstraße
Berlin,10117,Elisabeth-Mara-Straße
Berlin,10117,Erna-Berger-Straße
Berlin,10117,Französische Straße
Berlin,10117,Friedrich-Ebert-Platz
Berlin,10117,Friedrichstraße
Berlin,10117,Gendarmenmarkt
Berlin,10117,Georgenstraße
Berlin,10117,Gertrud-Kolmar-Straße
Berlin,10117,Geschwister-Scholl-Straße
Berlin,10117,Glinkastraße
Berlin,10117,Hannah-Arendt-Straße
Berlin,10117,Hausvogteiplatz
Berlin,10117,Hedwigskirchgasse
Berlin,10117,Hegelplatz
Berlin,10117,Hinter dem Gießhaus
Berlin,10117,Hinter dem Zeughaus
Berlin,10117,Hinter der Katholischen Kirche
Berlin,10117,Hufelandweg
Berlin,10117,In den Ministergärten
Berlin,10117,Jägerstraße
Berlin,10117,Jerusalemer Straße
Berlin,10117,Johannisstraße
Berlin,10117,Kalkscheunenstraße
Berlin,10117,Kapelle-Ufer
Berlin,10117,Karlplatz
Berlin,10117,Kleine Hamburger Straße
Berlin,10117,Kleine Jägerstraße
Berlin,10117,Kleine Kurstraße
Berlin,10117,Kommandantenstraße
Berlin,10117,Krausenstraße
Berlin,10117,Kreuzstraße
Berlin,10117,Kronenstraße
Berlin,10117,Kurstraße
Berlin,10117,Leipziger Platz
Berlin,10117,Leipziger Straße
Berlin,10117,Luisenstraße
Berlin,10117,Margarete-Steffin-Straße
Berlin,10117,Marienstraße
Berlin,10117,Markgrafenstraße
Berlin,10117,Mauerstraße
Berlin,10117,Mittelstraße
Berlin,10117,Mohrenstraße
Berlin,10117,Monbijoubrücke
Berlin,10117,Monbijoustraße
Berlin,10117,Neustädtische Kirchstraße
Berlin,10117,Niederkirchnerstraße
Berlin,10117,Niederwallstraße
Berlin,10117,Oberwallstraße
Berlin,10117,Oberwasserstraße
Berlin,10117,Oranienburger Straße
Berlin,10117,Pariser Platz
Berlin,10117,Planckstraße
Berlin,10117,Platz des Volksaufstandes von 1953
Berlin,10117,Potsdamer Platz
Berlin,10117,Rahel-Hirsch-Weg
Berlin,10117,Reichstagufer
Berlin,10117,Reinhardtstraße
Berlin,10117,Rosmarinstraße
Berlin,10117,Sauerbruchweg
Berlin,10117,Schadowstraße
Berlin,10117,Schiffbauerdamm
Berlin,10117,Schinkelplatz
Berlin,10117,Schumannstraße
Berlin,10117,Schützenstraße
Berlin,10117,Seydelstraße
Berlin,10117,Spittelmarkt
Berlin,10117,Stresemannstraße
Berlin,10117,Taubenstraße
Berlin,10117,Tucholskystraße
Berlin,10117,Universitätsstraße
Berlin,10117,Unterbaumstraße
Berlin,10117,Unter den Linden
Berlin,10117,Unterwasserstraße
Berlin,10117,Virchowweg
Berlin,10117,Voßstraße
Berlin,10117,Werderscher Markt
Berlin,10117,Wilhelmstraße
Berlin,10117,Ziegelstraße
Berlin,10117,Zimmerstraße
Berlin,10119,Almstadtstraße
Berlin,10119,Alte Schönhauser Straße
Berlin,10119,Angermünder Straße
Berlin,10119,Auguststraße
Berlin,10119,Brunnenstraße
Berlin,10119,Choriner Straße
