index,stop_name,stop_sequence,route_name,route_id
0,S Teltow Stadt,0,S26,18949_109
1,S Lichterfelde Süd,1,S26,18949_109
2,S Osdorfer Str.,2,S26,18949_109
3,S Lichterfelde Ost Bhf,3,S26,18949_109
4,S Lankwitz,4,S26,18949_109
5,S Südende,5,S26,18949_109
6,S Priesterweg,6,S26,18949_109
7,S Südkreuz Bhf,7,S26,18949_109
8,S+U Yorckstr. S2 S25 S26 U7,8,S26,18949_109
9,S Anhalter Bahnhof,9,S26,18949_109
10,S+U Potsdamer Platz Bhf,10,S26,18949_109
11,S+U Brandenburger Tor,11,S26,18949_109
12,S+U Friedrichstr. Bhf,12,S26,18949_109
13,S Oranienburger Str.,13,S26,18949_109
14,S Nordbahnhof,14,S26,18949_109
15,S Humboldthain,15,S26,18949_109
16,S+U Gesundbrunnen Bhf,16,S26,18949_109
17,S Bornholmer Str.,17,S26,18949_109
18,S Wollankstr.,18,S26,18949_109
19,S Schönholz,19,S26,18949_109
20,S Wilhelmsruh,20,S26,18949_109
21,S+U Wittenau,21,S26,18949_109
22,S Waidmannslust,22,S26,18949_109
23,S Grünau,0,S85,12003_109
24,S Adlershof,1,S85,12003_109
25,S Betriebsbahnhof Schöneweide,2,S85,12003_109
26,S Schöneweide Bhf,3,S85,12003_109
27,S Baumschulenweg,4,S85,12003_109
28,S Plänterwald,5,S85,12003_109
29,S Treptower Park,6,S85,12003_109
30,S Ostkreuz Bhf,7,S85,12003_109
31,S+U Frankfurter Allee,8,S85,12003_109
32,S Storkower Str.,9,S85,12003_109
33,S Landsberger Allee,10,S85,12003_109
34,S Greifswalder Str.,11,S85,12003_109
35,S Prenzlauer Allee,12,S85,12003_109
36,S+U Schönhauser Allee,13,S85,12003_109
37,S Bornholmer Str.,14,S85,12003_109
38,S+U Pankow,15,S85,12003_109
39,S Spindlersfeld,0,S47,10229_109
40,S Oberspree,1,S47,10229_109
41,S Schöneweide Bhf,2,S47,10229_109
42,S Baumschulenweg,3,S47,10229_109
43,S Köllnische Heide,4,S47,10229_109
44,S+U Neukölln,5,S47,10229_109
45,S+U Hermannstr.,6,S47,10229_109
46,S Beusselstr.,0,S42,10226_109
47,S+U Jungfernheide Bhf,1,S42,10226_109
48,S Westend,2,S42,10226_109
49,S Messe Nord/ICC,3,S42,10226_109
50,S Westkreuz,4,S42,10226_109
51,S Halensee,5,S42,10226_109
52,S Hohenzollerndamm,6,S42,10226_109
53,S+U Heidelberger Platz,7,S42,10226_109
54,S+U Bundesplatz,8,S42,10226_109
55,S+U Innsbrucker Platz,9,S42,10226_109
56,S Schöneberg,10,S42,10226_109
57,S Südkreuz Bhf,11,S42,10226_109
58,S+U Tempelhof,12,S42,10226_109
59,S+U Hermannstr.,13,S42,10226_109
60,S+U Neukölln,14,S42,10226_109
61,S Sonnenallee,15,S42,10226_109
62,S Treptower Park,16,S42,10226_109
63,S Ostkreuz Bhf,17,S42,10226_109
64,S+U Frankfurter Allee,18,S42,10226_109
65,S Storkower Str.,19,S42,10226_109
66,S Landsberger Allee,20,S42,10226_109
67,S Greifswalder Str.,21,S42,10226_109
68,S Prenzlauer Allee,22,S42,10226_109
69,S+U Schönhauser Allee,23,S42,10226_109
70,S+U Gesundbrunnen Bhf,24,S42,10226_109
71,S+U Wedding,25,S42,10226_109
72,S+U Westhafen,26,S42,10226_109
73,S Beusselstr.,27,S42,10226_109
74,S Beusselstr.,0,S41,10223_109
75,S+U Westhafen,1,S41,10223_109
76,S+U Wedding,2,S41,10223_109
77,S+U Gesundbrunnen Bhf,3,S41,10223_109
78,S+U Schönhauser Allee,4,S41,10223_109
79,S Prenzlauer Allee,5,S41,10223_109
80,S Greifswalder Str.,6,S41,10223_109
81,S Landsberger Allee,7,S41,10223_109
82,S Storkower Str.,8,S41,10223_109
83,S+U Frankfurter Allee,9,S41,10223_109
84,S Ostkreuz Bhf,10,S41,10223_109
85,S Treptower Park,11,S41,10223_109
86,S Sonnenallee,12,S41,10223_109
87,S+U Neukölln,13,S41,10223_109
88,S+U Hermannstr.,14,S41,10223_109
89,S+U Tempelhof,15,S41,10223_109
90,S Südkreuz Bhf,16,S41,10223_109
91,S Schöneberg,17,S41,10223_109
92,S+U Innsbrucker Platz,18,S41,10223_109
93,S+U Bundesplatz,19,S41,10223_109
94,S+U Heidelberger Platz,20,S41,10223_109
95,S Hohenzollerndamm,21,S41,10223_109
96,S Halensee,22,S41,10223_109
97,S Westkreuz,23,S41,10223_109
98,S Messe Nord/ICC,24,S41,10223_109
99,S Westend,25,S41,10223_109
100,S+U Jungfernheide Bhf,26,S41,10223_109
101,S Beusselstr.,27,S41,10223_109
102,S Flughafen Berlin-Schönefeld Bhf,0,S9,10170_109
103,S Grünbergallee,1,S9,10170_109
104,S Altglienicke,2,S9,10170_109
105,S Adlershof,3,S9,10170_109
106,S Betriebsbahnhof Schöneweide,4,S9,10170_109
107,S Schöneweide Bhf,5,S9,10170_109
108,S Baumschulenweg,6,S9,10170_109
109,S Plänterwald,7,S9,10170_109
110,S Treptower Park,8,S9,10170_109
111,S+U Warschauer Str.,9,S9,10170_109
112,S Ostbahnhof,10,S9,10170_109
113,S+U Jannowitzbrücke,11,S9,10170_109
114,S+U Alexanderplatz Bhf,12,S9,10170_109
115,S Hackescher Markt,13,S9,10170_109
116,S+U Friedrichstr. Bhf,14,S9,10170_109
117,S+U Berlin Hauptbahnhof,15,S9,10170_109
118,S Bellevue,16,S9,10170_109
119,S Tiergarten,17,S9,10170_109
120,S+U Zoologischer Garten Bhf,18,S9,10170_109
121,S Savignyplatz,19,S9,10170_109
122,S Charlottenburg Bhf,20,S9,10170_109
123,S Westkreuz,21,S9,10170_109
124,S Messe Süd,22,S9,10170_109
125,S Heerstr.,23,S9,10170_109
126,S Olympiastadion,24,S9,10170_109
127,S Pichelsberg,25,S9,10170_109
128,S Stresow,26,S9,10170_109
129,S Spandau Bhf,27,S9,10170_109
130,S Zeuthen,0,S8,10167_109
131,S Eichwalde,1,S8,10167_109
132,S Grünau,2,S8,10167_109
133,S Adlershof,3,S8,10167_109
134,S Betriebsbahnhof Schöneweide,4,S8,10167_109
135,S Schöneweide Bhf,5,S8,10167_109
136,S Baumschulenweg,6,S8,10167_109
137,S Plänterwald,7,S8,10167_109
138,S Treptower Park,8,S8,10167_109
139,S Ostkreuz Bhf,9,S8,10167_109
140,S+U Frankfurter Allee,10,S8,10167_109
141,S Storkower Str.,11,S8,10167_109
142,S Landsberger Allee,12,S8,10167_109
143,S Greifswalder Str.,13,S8,10167_109
144,S Prenzlauer Allee,14,S8,10167_109
145,S+U Schönhauser Allee,15,S8,10167_109
146,S Bornholmer Str.,16,S8,10167_109
147,S+U Pankow,17,S8,10167_109
148,S Pankow-Heinersdorf,18,S8,10167_109
149,S Blankenburg,19,S8,10167_109
150,S Mühlenbeck-Mönchmühle,20,S8,10167_109
151,S Schönfließ,21,S8,10167_109
152,S Bergfelde,22,S8,10167_109
153,S Hohen Neuendorf,23,S8,10167_109
154,S Birkenwerder Bhf,24,S8,10167_109
155,S Wartenberg,0,S75,10165_109
156,S Hohenschönhausen Bhf,1,S75,10165_109
157,S Gehrenseestr.,2,S75,10165_109
158,S Springpfuhl,3,S75,10165_109
159,S Friedrichsfelde Ost,4,S75,10165_109
160,S+U Lichtenberg Bhf,5,S75,10165_109
161,S Nöldnerplatz,6,S75,10165_109
162,S Ostkreuz Bhf,7,S75,10165_109
163,S+U Warschauer Str.,8,S75,10165_109
164,S Ostbahnhof,9,S75,10165_109
165,S Ahrensfelde Bhf,0,S7,10162_109
166,S Mehrower Allee,1,S7,10162_109
167,S Raoul-Wallenberg-Str.,2,S7,10162_109
168,S Marzahn,3,S7,10162_109
169,S Poelchaustr.,4,S7,10162_109
170,S Springpfuhl,5,S7,10162_109
171,S Friedrichsfelde Ost,6,S7,10162_109
172,S+U Lichtenberg Bhf,7,S7,10162_109
173,S Nöldnerplatz,8,S7,10162_109
174,S Ostkreuz Bhf,9,S7,10162_109
175,S+U Warschauer Str.,10,S7,10162_109
176,S Ostbahnhof,11,S7,10162_109
177,S+U Jannowitzbrücke,12,S7,10162_109
178,S+U Alexanderplatz Bhf,13,S7,10162_109
179,S Hackescher Markt,14,S7,10162_109
180,S+U Friedrichstr. Bhf,15,S7,10162_109
181,S+U Berlin Hauptbahnhof,16,S7,10162_109
182,S Bellevue,17,S7,10162_109
183,S Tiergarten,18,S7,10162_109
184,S+U Zoologischer Garten Bhf,19,S7,10162_109
185,S Savignyplatz,20,S7,10162_109
186,S Charlottenburg Bhf,21,S7,10162_109
187,S Westkreuz,22,S7,10162_109
188,S Grunewald,23,S7,10162_109
189,S Nikolassee,24,S7,10162_109
190,S Wannsee Bhf,25,S7,10162_109
191,S Griebnitzsee Bhf,26,S7,10162_109
192,S Babelsberg,27,S7,10162_109
193,S Potsdam Hauptbahnhof,28,S7,10162_109
194,S Grunewald,0,S5,10157_109
195,S Westkreuz,1,S5,10157_109
196,S Charlottenburg Bhf,2,S5,10157_109
197,S Savignyplatz,3,S5,10157_109
198,S+U Zoologischer Garten Bhf,4,S5,10157_109
199,S Tiergarten,5,S5,10157_109
200,S Bellevue,6,S5,10157_109
201,S+U Berlin Hauptbahnhof,7,S5,10157_109
202,S+U Friedrichstr. Bhf,8,S5,10157_109
203,S Hackescher Markt,9,S5,10157_109
204,S+U Alexanderplatz Bhf,10,S5,10157_109
205,S+U Jannowitzbrücke,11,S5,10157_109
206,S Ostbahnhof,12,S5,10157_109
207,S+U Warschauer Str.,13,S5,10157_109
208,S Ostkreuz Bhf,14,S5,10157_109
209,S Nöldnerplatz,15,S5,10157_109
210,S+U Lichtenberg Bhf,16,S5,10157_109
211,S Friedrichsfelde Ost,17,S5,10157_109
212,S Biesdorf,18,S5,10157_109
213,S+U Wuhletal,19,S5,10157_109
214,S Kaulsdorf,20,S5,10157_109
215,S Mahlsdorf Bhf,21,S5,10157_109
216,S Birkenstein,22,S5,10157_109
217,S Hoppegarten,23,S5,10157_109
218,S Neuenhagen,24,S5,10157_109
219,S Fredersdorf,25,S5,10157_109
220,S Petershagen Nord,26,S5,10157_109
221,S Strausberg Bhf,27,S5,10157_109
222,S Hegermühle,28,S5,10157_109
223,S Strausberg Stadt,29,S5,10157_109
224,S Strausberg Nord,30,S5,10157_109
225,S Königs Wusterhausen Bhf,0,S46,10155_109
226,S Wildau,1,S46,10155_109
227,S Zeuthen,2,S46,10155_109
228,S Eichwalde,3,S46,10155_109
229,S Grünau,4,S46,10155_109
230,S Adlershof,5,S46,10155_109
231,S Betriebsbahnhof Schöneweide,6,S46,10155_109
232,S Schöneweide Bhf,7,S46,10155_109
