,route_id,from_stop_id,to_stop_id,min_transfer_time,from_route_id,to_route_id
0,18949_109,60110011611,60110011611,,18949_109,18949_109
1,18949_109,60110011612,60110011611,,12003_109,18949_109
2,18949_109,60110011613,60110011614,,12003_109,18949_109
3,18949_109,60110011614,60110011614,,18949_109,18949_109
4,16815_109,60120005008,60120005009,600.0,10148_109,16815_109
5,16815_109,60120005008,60120005009,600.0,10165_109,16815_109
6,16815_109,60120005008,60120005010,600.0,10148_109,16815_109
7,16815_109,60120005008,60120005010,600.0,10165_109,16815_109
8,16815_109,60120005009,60120005009,600.0,10148_109,16815_109
9,16815_109,60120005009,60120005009,600.0,10149_109,16815_109
10,16815_109,60120005009,60120005009,600.0,10165_109,16815_109
11,16815_109,60120005009,60120005009,600.0,10166_109,16815_109
12,16815_109,60120005009,60120005010,600.0,10148_109,16815_109
13,16815_109,60120005009,60120005010,600.0,10149_109,16815_109
14,16815_109,60120005009,60120005010,600.0,10165_109,16815_109
15,16815_109,60120005009,60120005010,600.0,10166_109,16815_109
16,16815_109,60120005010,60120005009,600.0,10148_109,16815_109
17,16815_109,60120005010,60120005009,600.0,10149_109,16815_109
18,16815_109,60120005010,60120005009,,10162_109,16815_109
19,16815_109,60120005010,60120005009,600.0,10165_109,16815_109
20,16815_109,60120005010,60120005009,600.0,10166_109,16815_109
21,16815_109,60120005010,60120005010,600.0,10148_109,16815_109
22,16815_109,60120005010,60120005010,600.0,10149_109,16815_109
23,16815_109,60120005010,60120005010,,10162_109,16815_109
24,16815_109,60120005010,60120005010,600.0,10165_109,16815_109
25,16815_109,60120005010,60120005010,600.0,10166_109,16815_109
26,16815_109,60120005011,60120005009,600.0,10148_109,16815_109
27,16815_109,60120005011,60120005009,,10162_109,16815_109
28,16815_109,60120005011,60120005010,600.0,10148_109,16815_109
29,16815_109,60120005011,60120005010,,10162_109,16815_109
30,16814_109,60120005008,60120005009,600.0,10148_109,16814_109
31,16814_109,60120005008,60120005009,,10162_109,16814_109
32,16814_109,60120005008,60120005009,600.0,10165_109,16814_109
33,16814_109,60120005008,60120005010,600.0,10148_109,16814_109
34,16814_109,60120005008,60120005010,600.0,10165_109,16814_109
35,16814_109,60120005009,60120005009,600.0,10148_109,16814_109
36,16814_109,60120005009,60120005009,600.0,10149_109,16814_109
37,16814_109,60120005009,60120005009,600.0,10165_109,16814_109
38,16814_109,60120005009,60120005009,600.0,10166_109,16814_109
39,16814_109,60120005009,60120005010,600.0,10148_109,16814_109
40,16814_109,60120005009,60120005010,600.0,10149_109,16814_109
41,16814_109,60120005009,60120005010,600.0,10165_109,16814_109
42,16814_109,60120005009,60120005010,600.0,10166_109,16814_109
43,16814_109,60120005010,60120005009,600.0,10148_109,16814_109
44,16814_109,60120005010,60120005009,600.0,10149_109,16814_109
45,16814_109,60120005010,60120005009,,10162_109,16814_109
46,16814_109,60120005010,60120005009,600.0,10165_109,16814_109
47,16814_109,60120005010,60120005009,600.0,10166_109,16814_109
48,16814_109,60120005010,60120005010,600.0,10148_109,16814_109
49,16814_109,60120005010,60120005010,600.0,10149_109,16814_109
50,16814_109,60120005010,60120005010,,10162_109,16814_109
51,16814_109,60120005010,60120005010,600.0,10165_109,16814_109
52,16814_109,60120005010,60120005010,600.0,10166_109,16814_109
53,16814_109,60120005011,60120005009,600.0,10148_109,16814_109
54,16814_109,60120005011,60120005009,,10162_109,16814_109
55,16814_109,60120005011,60120005010,600.0,10148_109,16814_109
56,16814_109,60120005011,60120005010,,10162_109,16814_109
57,16814_109,60120004624,60120004624,,10148_109,16814_109
58,16814_109,60120004624,60120004624,,10149_109,16814_109
59,16814_109,60120004624,60120004624,,10165_109,16814_109
60,16814_109,60120004624,60120004622,,10148_109,16814_109
61,16814_109,60120004624,60120004622,,10149_109,16814_109
62,16814_109,60120004624,60120004622,,10165_109,16814_109
63,16814_109,60120004622,60120004624,,10148_109,16814_109
64,16814_109,60120004622,60120004624,,10149_109,16814_109
65,16814_109,60120004622,60120004624,,10165_109,16814_109
66,16814_109,60120004622,60120004624,,10166_109,16814_109
67,16814_109,60120004622,60120004622,,10148_109,16814_109
68,16814_109,60120004622,60120004622,,10149_109,16814_109
69,16814_109,60120004622,60120004622,,10165_109,16814_109
70,16814_109,60120004622,60120004622,,10166_109,16814_109
71,16814_109,60120004621,60120004624,,10149_109,16814_109
72,16814_109,60120004621,60120004624,,10150_109,16814_109
73,16814_109,60120004621,60120004624,,10165_109,16814_109
74,16814_109,60120004621,60120004624,,10166_109,16814_109
75,16814_109,60120004621,60120004622,,10149_109,16814_109
76,16814_109,60120004621,60120004622,,10150_109,16814_109
77,16814_109,60120004621,60120004622,,10165_109,16814_109
78,16814_109,60120004621,60120004622,,10166_109,16814_109
79,16814_109,60120004623,60120004624,,10148_109,16814_109
80,16814_109,60120004623,60120004622,,10148_109,16814_109
81,12003_109,60110011611,60110011612,,18949_109,12003_109
82,12003_109,60110011612,60110011612,,12003_109,12003_109
83,12003_109,60110011613,60110011613,,12003_109,12003_109
84,12003_109,60110011614,60110011613,,18949_109,12003_109
85,12003_109,60191001003,60191001003,60.0,10167_109,12003_109
86,12003_109,60191001003,60191001003,60.0,10170_109,12003_109
87,12003_109,60191001003,60191001003,60.0,10271_109,12003_109
88,12003_109,60191001003,60191001003,60.0,12003_109,12003_109
89,12003_109,60191001003,60191001004,360.0,10167_109,12003_109
90,12003_109,60191001003,60191001004,360.0,10170_109,12003_109
91,12003_109,60191001003,60191001004,360.0,10271_109,12003_109
92,12003_109,60191001003,60191001004,360.0,12003_109,12003_109
93,12003_109,60191001004,60191001003,360.0,10154_109,12003_109
94,12003_109,60191001004,60191001003,360.0,10155_109,12003_109
95,12003_109,60191001004,60191001003,360.0,10167_109,12003_109
96,12003_109,60191001004,60191001003,360.0,10170_109,12003_109
97,12003_109,60191001004,60191001003,360.0,10229_109,12003_109
98,12003_109,60191001004,60191001003,360.0,10271_109,12003_109
99,12003_109,60191001004,60191001003,360.0,11536_109,12003_109
100,12003_109,60191001004,60191001003,360.0,11537_109,12003_109
101,12003_109,60191001004,60191001003,360.0,12003_109,12003_109
102,12003_109,60191001004,60191001004,60.0,10154_109,12003_109
103,12003_109,60191001004,60191001004,60.0,10155_109,12003_109
104,12003_109,60191001004,60191001004,60.0,10167_109,12003_109
105,12003_109,60191001004,60191001004,60.0,10170_109,12003_109
106,12003_109,60191001004,60191001004,60.0,10229_109,12003_109
107,12003_109,60191001004,60191001004,60.0,10271_109,12003_109
108,12003_109,60191001004,60191001004,60.0,11536_109,12003_109
109,12003_109,60191001004,60191001004,60.0,11537_109,12003_109
110,12003_109,60191001004,60191001004,60.0,12003_109,12003_109
111,12003_109,60191001005,60191001003,60.0,10154_109,12003_109
112,12003_109,60191001005,60191001003,60.0,10155_109,12003_109
113,12003_109,60191001005,60191001003,60.0,10229_109,12003_109
114,12003_109,60191001005,60191001003,60.0,11536_109,12003_109
115,12003_109,60191001005,60191001003,60.0,11537_109,12003_109
116,12003_109,60191001005,60191001004,360.0,10154_109,12003_109
117,12003_109,60191001005,60191001004,360.0,10155_109,12003_109
118,12003_109,60191001005,60191001004,360.0,10229_109,12003_109
119,12003_109,60191001005,60191001004,360.0,11536_109,12003_109
120,12003_109,60191001005,60191001004,360.0,11537_109,12003_109
121,12003_109,60120901551,60120901551,60.0,10167_109,12003_109
122,12003_109,60120901551,60120901551,60.0,10223_109,12003_109
123,12003_109,60120901551,60120901551,60.0,10224_109,12003_109
124,12003_109,60120901551,60120901551,60.0,12003_109,12003_109
125,12003_109,60120901551,60120901552,60.0,10167_109,12003_109
126,12003_109,60120901551,60120901552,60.0,10223_109,12003_109
127,12003_109,60120901551,60120901552,60.0,10224_109,12003_109
128,12003_109,60120901551,60120901552,60.0,12003_109,12003_109
129,12003_109,60120901552,60120901551,60.0,10167_109,12003_109
130,12003_109,60120901552,60120901551,60.0,10226_109,12003_109
131,12003_109,60120901552,60120901551,60.0,10227_109,12003_109
132,12003_109,60120901552,60120901551,60.0,12003_109,12003_109
133,12003_109,60120901552,60120901552,60.0,10167_109,12003_109
134,12003_109,60120901552,60120901552,60.0,10226_109,12003_109
135,12003_109,60120901552,60120901552,60.0,10227_109,12003_109
136,12003_109,60120901552,60120901552,60.0,12003_109,12003_109
137,12003_109,60120003654,60120901551,180.0,10148_109,12003_109
138,12003_109,60120003654,60120901551,180.0,10149_109,12003_109
139,12003_109,60120003654,60120901551,180.0,10157_109,12003_109
