station_name,latitude,longitude,district_name,station_link
Adenauerplatz,52.499722222222225,13.307222222222222,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Adenauerplatz
Afrikanische Straße,52.56055555555555,13.334166666666667,Wedding,https://de.wikipedia.org/wiki/U-Bahnhof_Afrikanische_Stra%C3%9Fe
Alexanderplatz,52.521388888888886,13.413333333333334,Mitte,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Alexanderplatz
Altstadt Spandau,52.53916666666667,13.205555555555556,Spandau,https://de.wikipedia.org/wiki/U-Bahnhof_Altstadt_Spandau
Alt-Mariendorf,52.43972222222222,13.3875,Mariendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Alt-Mariendorf
Alt-Tegel,52.589444444444446,13.283611111111112,Tegel,https://de.wikipedia.org/wiki/U-Bahnhof_Alt-Tegel
Alt-Tempelhof,52.46611111111111,13.385555555555555,Tempelhof,https://de.wikipedia.org/wiki/U-Bahnhof_Alt-Tempelhof
Amrumer Straße,52.54222222222222,13.348888888888888,Wedding,https://de.wikipedia.org/wiki/U-Bahnhof_Amrumer_Stra%C3%9Fe
Augsburger Straße,52.50055555555556,13.336388888888889,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Augsburger_Stra%C3%9Fe
Bayerischer Platz,52.48861111111111,13.34,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_Bayerischer_Platz
Berliner Straße,52.48722222222222,13.330833333333333,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Berliner_Stra%C3%9Fe
Bernauer Straße,52.5375,13.396666666666667,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Bernauer_Stra%C3%9Fe
Biesdorf-Süd,52.499722222222225,13.546388888888888,Biesdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Biesdorf-S%C3%BCd
Birkenstraße,52.532222222222224,13.341388888888888,Moabit,https://de.wikipedia.org/wiki/U-Bahnhof_Birkenstra%C3%9Fe
Bismarckstraße,52.51138888888889,13.304722222222223,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Bismarckstra%C3%9Fe
Blaschkoallee,52.45166666666667,13.449722222222222,Britz,https://de.wikipedia.org/wiki/U-Bahnhof_Blaschkoallee
Blissestraße,52.486666666666665,13.321944444444444,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Blissestra%C3%9Fe
Boddinstraße,52.47944444444445,13.425555555555556,Neukölln,https://de.wikipedia.org/wiki/U-Bahnhof_Boddinstra%C3%9Fe
Borsigwerke,52.581944444444446,13.290833333333333,Tegel,https://de.wikipedia.org/wiki/U-Bahnhof_Borsigwerke
Brandenburger Tor,52.51638888888889,13.380833333333333,Mitte,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Brandenburger_Tor
Breitenbachplatz,52.466944444444444,13.30861111111111,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Breitenbachplatz
Britz-Süd,52.437777777777775,13.448333333333334,Britz,https://de.wikipedia.org/wiki/U-Bahnhof_Britz-S%C3%BCd
Bülowstraße,52.4975,13.363333333333333,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_B%C3%BClowstra%C3%9Fe
Bundesplatz,52.47888888888889,13.328055555555556,Wilmersdorf,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Bundesplatz
Bundestag,52.52,13.373055555555556,Tiergarten,https://de.wikipedia.org/wiki/U-Bahnhof_Bundestag
Cottbusser Platz,52.53388888888889,13.596388888888889,Hellersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Cottbusser_Platz
Dahlem-Dorf,52.4575,13.289722222222222,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Dahlem-Dorf
Deutsche Oper,52.511944444444445,13.310555555555556,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Deutsche_Oper
Eberswalder Straße,52.541666666666664,13.412222222222223,Prenzlauer Berg,https://de.wikipedia.org/wiki/U-Bahnhof_Eberswalder_Stra%C3%9Fe
Eisenacher Straße,52.489444444444445,13.350277777777778,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_Eisenacher_Stra%C3%9Fe
Elsterwerdaer Platz,52.505,13.560555555555556,Biesdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Elsterwerdaer_Platz
Ernst-Reuter-Platz,52.511944444444445,13.322222222222223,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Ernst-Reuter-Platz
Fehrbelliner Platz,52.49027777777778,13.314166666666667,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Fehrbelliner_Platz
Frankfurter Allee,52.515,13.474722222222223,Friedrichshain,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Frankfurter_Allee
Frankfurter Tor,52.51583333333333,13.454166666666667,Friedrichshain,https://de.wikipedia.org/wiki/U-Bahnhof_Frankfurter_Tor
Franz-Neumann-Platz,52.56388888888889,13.364166666666666,Reinickendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Franz-Neumann-Platz_(Am_Sch%C3%A4fersee)
Französische Straße,52.514722222222225,13.389166666666666,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Franz%C3%B6sische_Stra%C3%9Fe
Freie Universität,52.45111111111111,13.281944444444445,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Freie_Universit%C3%A4t_(Thielplatz)
Friedrichsfelde,52.50611111111111,13.512777777777778,Friedrichsfelde,https://de.wikipedia.org/wiki/U-Bahnhof_Friedrichsfelde
Friedrichstraße,52.52027777777778,13.386944444444444,Mitte,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Friedrichstra%C3%9Fe
Friedrich-Wilhelm-Platz,52.471944444444446,13.328611111111112,Friedenau,https://de.wikipedia.org/wiki/U-Bahnhof_Friedrich-Wilhelm-Platz
Gesundbrunnen,52.548611111111114,13.373055555555556,Gesundbrunnen,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Gesundbrunnen
Gleisdreieck,52.498333333333335,13.375277777777777,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Gleisdreieck
Gneisenaustraße,52.49138888888889,13.39611111111111,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Gneisenaustra%C3%9Fe
Görlitzer Bahnhof,52.49916666666667,13.428055555555556,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_G%C3%B6rlitzer_Bahnhof
Grenzallee,52.46333333333333,13.443888888888889,Britz,https://de.wikipedia.org/wiki/U-Bahnhof_Grenzallee
Güntzelstraße,52.49194444444444,13.330833333333333,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_G%C3%BCntzelstra%C3%9Fe
Halemweg,52.53666666666667,13.286388888888888,Charlottenburg-Nord,https://de.wikipedia.org/wiki/U-Bahnhof_Halemweg
Hallesches Tor,52.49777777777778,13.391111111111112,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Hallesches_Tor
Hansaplatz,52.51777777777778,13.342222222222222,Hansaviertel,https://de.wikipedia.org/wiki/U-Bahnhof_Hansaplatz
Haselhorst,52.53888888888889,13.232777777777779,Haselhorst,https://de.wikipedia.org/wiki/U-Bahnhof_Haselhorst
